,screen_name,description
24082,jeanmedavis,"Recovering politician, Climate Activist, European, pet carer to Harry & Toby. Enjoying retirement in the Highlands & trying to stay retired! Be kind, run free!!"
25705,cjeanbroxmouth,"Brought up in Berwickshire, Scotland, I now live in East Lothian.  I went to Eyemouth High School. Married with a grown up son I am now retired."
26209,g72742503,"Semi-retired, queue-jumping, tax-paying  immigrant since 1979. No benefits ever.  Do I really want to stay? Have to wait and see what happens."
26221,PhilShawLD,Liberal Democrat Town Councillor for Petersfield Ramshill. Made in the Royal Navy then NHS. Now retired.
27349,stephenbrooks02,Management consultant now retired.
28464,helmut_herberth,"👽🇬🇧🇪🇺Happily retired husband and grandpa, grateful to NHS for being alive, passionate rejoiner"
28848,Randombiz,"Semi-retired IT professional working to change Politics for Good. Recently referred to as an activist and rabble rouser, happy with that 😎"
30054,MeSaare,"Semi-retired - HUH! teacher, cook, writer, tourism guide & Diva kitten wrangler"
30380,gpz01,"Commonwealth Born Ex RAF  semi-retired No Party affiliation  Present FPTP does not reflect voters Results in Voter Polarisation 
Brexit will Unravel Love EU"
30759,annwhyntie,"Interior Designer, Artist(?). Busy being retired. Retired first woman Chair of Titchfield Bonfire Boys Society. Proud to help support the community. Likes wine."
32942,EleanorKane18,"Proud Scottish wife and mother; retired nurse and passionate about the NHS, politics, news, (gossip) #FBPE #free Nazanin #FBFFFBPEF"
33443,rolfesm,Used to teach 16-18 year olds Sociology A level. Mother to 3 stepmother to 1 grandmother to 3. Now joyously retired.
34055,imagine8,"Recently retired Creative Director of Imagine Design. Proud Remainer. Revoke Article 50. Put all lying, cheating Politicians in jail. #FBPE"
34853,AstridFel,"I am a retired International Middle School Science, Math, Robotics and exploratory program teacher. Stem and PBL is my expertise."
35020,CornishRandalls,"Legal Eagle (retired!), Golf fanatic/Bandit (some say) Lifelong supporter/ sufferer of BCFC (the Blues), was a VERY proud remainer- now rejoiner( eventually!)"
35064,chrismoor,"mostly retired - still busy - music @ Barnes Methodist Church,  Adv Ctee Ethics in Investment Opinions all personal"
36384,LMCosts,"Mum, Costs Lawyer, fan of motorbike racing. Love my 2 retired greyhounds and travelling with them in our campervan and caravan. Volunteer at Daybreaks kennels."
36702,richwinter2,"Likes, Being retired, Lib Dem’s, smokey whiskey, Wasps RFC. Dislikes Tories, Brexit,"
37267,BrianGoredemaBr,"I am a retired university lecturer. My background is in Youth & Community Work. I enjoy most sport, music, acting in murder mystery plays and worldwide travel"
37289,jon_media_para,I am a paramedic now retired from NHS after 35 year career. Passionate about our horse and high board diving. Care deeply about wildlife and the environment.
37472,AAGusJones1,Now retired with second career as published author. Scott's Forgotten Surgeon published 2012. Currently engaged researching international organised crime.
37535,Bebe111,"Wife, Mother, Grandmother, Gardener, retired Midwife/nurse, miniature poodle owner."
37542,anna_damski,Semi-retired itinerant; pro-EU activist; Chair of Suffolk EU Alliance.
37610,8rthur2019,"Teacher, electronics engineer retired to la belle France. J'adore le beau paysage, les gens, le vin😉, le vélo
et ma petite chérie. Je suis gallois👍"
38161,Sleighbelles,"Wife, Mother, Grandmother, retired teacher, sometime quilter, costume maker; cooks, bakes, sews, reads, walks, etc etc etc"
38475,bathwellschap,Cheerfully retired Bishops' Chaplain; still a chap from Bath &Wells. NB: I've given up Twitter for Lent!
40513,MnsrMysterioso_,"Pro-Britain, Pro-EU, Pro-France,#PeoplesVote, #RemainAlliance, peace lover, retired engineer, Beatles fan, family man, reject racism, feels better with red wine"
40774,DYeandleOBE,Now retired but still an MS Ambassador and member of the PPI Council.
41924,jointhetardis,"UK and France. 35 years in education. SEN. Primary. Secondary. Now retired to support others still in my profession. 
jointhetardis@aol.com
@HEAD2FRANCE"
42608,juliadarwen,"Wife, mother, Gran, Educational Psychologist (retired), theatre-goer, traveller, parkrunner, BRFC. Liberal Democrat councillor - Kendal Town Council"
42627,Auntiewow,LLB FSRA retired. Env law and social justice. Passion: co-creation of projects that empower communities.
44361,wgriffiths69,retired firefighter dad grandad wood carver. Cardiff Blues fan since 1973 in good times and bad. All my own views unless I’m told by my wife 😀🏴󠁧󠁢󠁷󠁬󠁳󠁿
44786,JamesDr52781263,All opinions my own. Any Defence commentary is as a retired Infantry Officer. Driven to Twitter due to Brexit and Trump.
45336,martinmaloney22,"Father to 3 beautiful women, grandad to 4 wonderful grandchildren. Ex policeman, retired teacher. Dislike with a passion: racists, misogynists, and far right."
48027,SteveJHarris,Sussex since 64; Wolves 🐺 since ‘65; Packers since ‘67; Liberal since ‘70; horses since ‘89; Fragile X Syndrome since ‘01; retired since ‘17; pro foreigners
48255,terryw04,"retired company secretary (social housing)/jazz musician/community energy volunteer/europhile/
retweets not nec endorsements"
48586,RegSingh4,"A retired property developer living in Moseley. Whiskey 
Connoisseur, Amateur Squash Enthusiast"
48917,egilcookie59,"married, with three children and two grandchildren, retired.
Enjoy reading, music/singing, travelling, history at the local fort, photography."
49321,oldpj,(Almost ) retired doctor.
49439,grammarpuss13,"I'm a retired literacy adviser.  I love to travel, read, ski and indulge my interest in languages."
49721,jrk47,65 (but not retired due to government legislation)
50693,CheshirePete,"Mostly retired, travel a lot. Like politics, poetry, art, cricket, tennis, football, hillwalking, motorcycling, jazz, rock. Lover of life and people."
50737,katydid2fury,"Father, grandfather, retired school teacher, trainee guitarist, Chelsea supporter, cycling, feline friend,  BA (OU), be true to yourself."
52131,1_tremor,"Jackie Farrell, retired dance teacher. Diagnosed with Essential Tremor 1974, raise awareness of disorder @NatTremor support group coordinator"
52755,jon_trace,"Welsh,radicalised European,retired 4 children 7 grandchildren,labour values ex party, fighting off insanity from lies, untruth and bigotry"
53173,halsteadviking,retired engineer playing in garage with my bikes
53359,StewartLewis2,Mostly-retired opinion researcher.  Left-of-centre; Remainer.  Lifelong Norwich City fan
53602,rhwilton,"Electronic Engineer. Service Manager (retired). European, British, mostly English, partly Scottish. #FBPE #WATON"
54362,Galviam,"Automotive Manufacture, Design and Management recently retired. I have an acute loathing of liars and bullies or those who manipulate the truth."
54492,BEEnnis,"Irish, retired lecturer living in Cornwall. #FBPE. RT's don't necessarily mean endorsement of message !"
54493,Islander2001,"British born European,retired teacher of French/German. Freelance writer & occasional broadcaster, Germanophile,Francophile. Immer und ewig europaeisch."
55178,alison_born,"Activist with @BathforEurope, retired from @NHS, yoga teacher #ExitFromBrexit. Recently elected Lib Dem Councillor. Views my own."
55408,Cedar50,"Welsh, retired. Brexit belongs, in its entirety, to Boris Johnson #ToryBrexit"
58903,stuwu10,"British/Canadian retired in 🇮🇪 with partner. Lived around the world. Massive Bristol City fan. 💓 great food, wine & 1st cl travel. RT not endorsement No DMs"
62760,sueinwards,"Lib Dem Cllr, retired teacher, gardener, cricket lover, sceptic. Lazy tweeter."
64919,claireOT,"I’m a retired OT. I make #feministbadges, and I’m a member of @LeedsSpinners & @LeedsReSisters https://t.co/teLOkEFhJw"
65224,dickiejohn61,"ex-lots, now retired so I’ve nothing better to do"
66538,venchrisallsopp,"Priest, retired Archdeacon,
enjoying life in the Valley of the Racehorse"
67087,DavidLe69434628,45 years experience Cost Engineering and Project Controls in European Space industry and UK Defence. Semi retired. Pro EU.
67760,Bonster110,"retired public servant (UK)
bear with me, I'm new here.
one husband, one son, one dog, one cat."
69812,emh1145,"retired Learning &Language advisory teacher. Singer, Reader,Christian..Liberal party voter since youth,, its in my bones"
